snd/rcv         time       type       sequence        payload size    ack             RTT             window size    
rcv             28.0       A          1               0               580000          1               3              
snd/corr        28.0       D          590000          5000            0               748             4              
snd             28.0       D          590000          5000            1               748             4              
snd/dup         28.0       D          570000          5000            0               848             4              
snd             28.0       D          570000          5000            1               848             4              
tout/RXT        28.0       D          570000          5000            0               848             4              
rcv             28.0       A          1               0               570000          103             3              
rcv             28.0       A          1               0               570000          103             3              
snd/dup         28.0       D          575000          5000            0               925             3              
snd             28.0       D          575000          5000            1               925             3              
snd             28.0       D          580000          5000            1               925             4              
rcv             28.0       A          1               0               575000          0               3              
snd             28.0       D          585000          5000            1               748             4              
rcv             28.0       A          1               0               580000          1               3              
snd             28.0       D          590000          5000            1               748             4              
rcv             28.0       A          1               0               585000          1               3              
rcv             28.0       A          1               0               585000          0               3              
drop            28.0       D          595000          5000            0               748             3              
drop            28.0       D          600000          5000            0               748             4              
rcv             28.0       A          1               0               590000          0               3              
rcv             28.0       A          1               0               590000          0               2              
snd/dup         28.0       D          605000          5000            0               748             3              
snd             28.0       D          605000          5000            1               748             3              
drop            28.0       D          610000          5000            0               748             4              
rcv             28.0       A          1               0               605000          1               3              
snd/rord        28.0       D          615000          5000            0               748             4              
snd/dup         29.0       D          595000          5000            0               844             4              
snd             29.0       D          595000          5000            1               844             4              
tout/RXT        29.0       D          595000          5000            0               844             4              
rcv             29.0       A          1               0               595000          101             3              
snd             29.0       D          620000          5000            1               923             4              
snd             29.0       D          600000          5000            1               823             4              
tout/RXT        29.0       D          600000          5000            0               823             4              
rcv             29.0       A          1               0               620000          102             3              
snd/dup         29.0       D          625000          5000            0               924             4              
snd             29.0       D          625000          5000            1               924             4              
rcv             29.0       A          1               0               625000          1               3              
drop            29.0       D          630000          5000            0               748             4              
drop            29.0       D          600000          5000            0               848             4              
tout/RXT        29.0       D          600000          5000            0               848             4              
snd             29.0       D          600000          5000            1               948             4              
tout/RXT        29.0       D          600000          5000            0               948             4              
rcv             29.0       A          1               0               600000          202             3              
snd/corr        29.0       D          615000          5000            0               1099            4              
snd             29.0       D          615000          5000            1               1099            4              
snd/dup         29.0       D          615000          5000            0               1099            4              
snd             29.0       D          615000          5000            1               1099            4              
snd/RXT         29.0       D          615000          5000            0               1099            4              
rcv/DA          29.0       A          1               0               615000          2               3              
rcv/DA          29.0       A          1               0               615000          0               3              
snd/dup         29.0       D          620000          5000            0               748             3              
snd             29.0       D          620000          5000            1               748             3              
drop            29.0       D          625000          5000            0               748             4              
rcv             29.0       A          1               0               620000          1               3              
snd/rord        29.0       D          610000          5000            0               748             4              
drop            29.0       D          610000          5000            0               848             4              
tout/RXT        29.0       D          610000          5000            0               848             4              
drop            29.0       D          610000          5000            0               948             4              
tout/RXT        29.0       D          610000          5000            0               948             4              
snd/dup         29.0       D          610000          5000            0               1048            4              
snd             29.0       D          610000          5000            1               1048            4              
tout/RXT        29.0       D          610000          5000            0               1048            4              
rcv             29.0       A          1               0               625000          303             3              
snd/dup         29.0       D          615000          5000            0               1275            4              
snd             29.0       D          615000          5000            1               1275            4              
rcv             29.0       A          1               0               610000          0               3              
rcv             29.0       A          1               0               610000          0               2              
snd/corr        29.0       D          620000          5000            0               748             3              
snd             29.0       D          620000          5000            1               748             3              
snd/dely        29.0       D          625000          5000            0               748             4              
rcv             29.0       A          1               0               615000          1               3              
snd/rord        29.0       D          620000          5000            0               748             3              
snd/RXT         29.0       D          620000          5000            0               748             3              
snd/dup         29.0       D          630000          5000            0               848             3              
snd             29.0       D          630000          5000            1               848             3              
tout/RXT        29.0       D          630000          5000            0               848             3              
rcv             29.0       A          1               0               630000          103             2              
snd             29.0       D          620000          5000            1               925             2              
tout/RXT        29.0       D          620000          5000            0               925             2              
rcv             29.0       A          1               0               620000          205             1              
snd             29.0       D          625000          5000            1               1001            1              
tout/RXT        29.0       D          625000          5000            0               1001            1              
rcv             29.0       A          1               0               625000          306             0              
snd             30.0       D          625000          5000            1               1297            0              
snd             30.0       D          630000          5000            1               1281            1              
snd             30.0       D          635000          5000            1               1281            2              
snd/corr        30.0       D          640000          5000            0               1281            3              
snd             30.0       D          640000          5000            1               1281            3              
snd/corr        30.0       D          645000          5000            0               1281            4              
snd             30.0       D          645000          5000            1               1281            4              
rcv             30.0       A          1               0               630000          0               3              
drop            30.0       D          650000          5000            0               748             4              
rcv             30.0       A          1               0               635000          1               3              
drop            30.0       D          655000          5000            0               748             4              
snd/corr        30.0       D          640000          5000            0               848             4              
snd             30.0       D          640000          5000            1               848             4              
tout/RXT        30.0       D          640000          5000            0               848             4              
snd             30.0       D          640000          5000            1               948             4              
tout/RXT        30.0       D          640000          5000            0               948             4              
rcv             30.0       A          1               0               640000          204             3              
snd/dup         30.0       D          660000          5000            0               1105            4              
snd             30.0       D          660000          5000            1               1105            4              
rcv             30.0       A          1               0               660000          3               3              
snd/dup         30.0       D          665000          5000            0               750             4              
snd             30.0       D          665000          5000            1               750             4              
rcv             30.0       A          1               0               665000          1               3              
drop            30.0       D          670000          5000            0               748             4              
drop            30.0       D          645000          5000            0               848             4              
tout/RXT        30.0       D          645000          5000            0               848             4              
snd/dup         30.0       D          645000          5000            0               948             4              
snd             30.0       D          645000          5000            1               948             4              
tout/RXT        30.0       D          645000          5000            0               948             4              
rcv             30.0       A          1               0               645000          203             3              
drop            30.0       D          655000          5000            0               1100            4              
snd             30.0       D          650000          5000            1               1000            4              
tout/RXT        30.0       D          650000          5000            0               1000            4              
drop            30.0       D          650000          5000            0               900             4              
tout/RXT        30.0       D          650000          5000            0               900             4              
snd/dup         30.0       D          650000          5000            0               996             4              
snd             30.0       D          650000          5000            1               996             4              
tout/RXT        30.0       D          650000          5000            0               996             4              
rcv             30.0       A          1               0               650000          303             3              
snd/rord        30.0       D          660000          5000            0               1275            4              
snd/dely        31.0       D          655000          5000            0               1175            4              
snd             32.0       D          655000          5000            1               1727            4              
tout/RXT        32.0       D          655000          5000            0               1727            4              
snd             32.0       D          655000          5000            1               1827            4              
tout/RXT        32.0       D          655000          5000            0               1827            4              
rcv             32.0       A          1               0               655000          1157            3              
rcv             32.0       A          1               0               655000          1157            2              
snd/corr        32.0       D          665000          5000            0               2771            3              
snd             32.0       D          665000          5000            1               2771            3              
snd/dely        32.0       D          670000          5000            0               2771            4              
snd/dup         32.0       D          665000          5000            0               2771            4              
snd             32.0       D          665000          5000            1               2771            4              
snd/RXT         32.0       D          665000          5000            0               2771            4              
rcv             32.0       A          1               0               665000          1               3              
snd/dely        32.0       D          670000          5000            0               848             3              
snd             32.0       D          670000          5000            1               1208            3              
tout/RXT        32.0       D          670000          5000            0               1208            3              
rcv             32.0       A          1               0               670000          465             2              
rcv             32.0       A          1               0               670000          465             1              
snd             32.0       D          670000          5000            1               1176            1              
snd/dely        32.0       D          675000          5000            0               1560            2              
rcv             32.0       A          1               0               660000          1               1              
snd/corr        32.0       D          675000          5000            0               848             1              
snd             32.0       D          675000          5000            1               848             1              
tout/RXT        32.0       D          675000          5000            0               848             1              
snd/corr        32.0       D          675000          5000            0               948             1              
snd             32.0       D          675000          5000            1               948             1              
tout/RXT        32.0       D          675000          5000            0               948             1              
drop            32.0       D          675000          5000            0               1048            1              
tout/RXT        32.0       D          675000          5000            0               1048            1              
snd             33.0       D          675000          5000            1               1152            1              
tout/RXT        33.0       D          675000          5000            0               1152            1              
rcv             33.0       A          1               0               675000          406             0              
snd             33.0       D          675000          5000            1               1172            0              
drop            33.0       D          680000          5000            0               1456            1              
drop            33.0       D          685000          5000            0               1456            2              
snd/corr        33.0       D          690000          5000            0               1456            3              
snd             33.0       D          690000          5000            1               1456            3              
snd/corr        33.0       D          695000          5000            0               1456            4              
snd             33.0       D          695000          5000            1               1456            4              
drop            33.0       D          680000          5000            0               1356            4              
tout/RXT        33.0       D          680000          5000            0               1356            4              
snd             33.0       D          680000          5000            1               1256            4              
tout/RXT        33.0       D          680000          5000            0               1256            4              
rcv             33.0       A          1               0               680000          203             3              
snd/corr        33.0       D          700000          5000            0               1100            4              
snd             33.0       D          700000          5000            1               1100            4              
drop            33.0       D          685000          5000            0               1000            4              
tout/RXT        33.0       D          685000          5000            0               1000            4              
snd/rord        33.0       D          685000          5000            0               900             4              
tout/RXT        33.0       D          685000          5000            0               900             4              
snd/corr        33.0       D          685000          5000            0               996             4              
snd             33.0       D          685000          5000            1               996             4              
tout/RXT        33.0       D          685000          5000            0               996             4              
snd/dely        33.0       D          685000          5000            0               1100            4              
snd             34.0       D          685000          5000            1               1892            4              
tout/RXT        34.0       D          685000          5000            0               1892            4              
rcv             34.0       A          1               0               685000          1198            3              
snd/dup         34.0       D          705000          5000            0               2842            4              
snd             34.0       D          705000          5000            1               2842            4              
rcv             34.0       A          1               0               705000          1               3              
snd/dely        34.0       D          710000          5000            0               748             4              
snd             34.0       D          690000          5000            1               844             4              
tout/RXT        34.0       D          690000          5000            0               844             4              
drop            34.0       D          690000          5000            0               956             4              
tout/RXT        34.0       D          690000          5000            0               956             4              
snd/corr        34.0       D          690000          5000            0               1056            4              
snd             34.0       D          690000          5000            1               1056            4              
tout/RXT        34.0       D          690000          5000            0               1056            4              
snd             34.0       D          690000          5000            1               1056            4              
snd/RXT         34.0       D          690000          5000            0               1056            4              
rcv             34.0       A          1               0               690000          312             3              
snd             34.0       D          710000          5000            1               1054            3              
snd/corr        34.0       D          715000          5000            0               1294            4              
snd             34.0       D          715000          5000            1               1294            4              
rcv             34.0       A          1               0               710000          1               3              
snd/dup         34.0       D          720000          5000            0               748             4              
snd             34.0       D          720000          5000            1               748             4              
rcv             34.0       A          1               0               720000          2               3              
drop            34.0       D          725000          5000            0               749             4              
snd             35.0       D          695000          5000            1               845             4              
tout/RXT        35.0       D          695000          5000            0               845             4              
snd/dup         35.0       D          695000          5000            0               949             4              
snd             35.0       D          695000          5000            1               949             4              
tout/RXT        35.0       D          695000          5000            0               949             4              
rcv             35.0       A          1               0               695000          203             3              
snd/dely        35.0       D          730000          5000            0               1100            4              
drop            35.0       D          700000          5000            0               1000            4              
tout/RXT        35.0       D          700000          5000            0               1000            4              
snd             35.0       D          700000          5000            1               900             4              
tout/RXT        35.0       D          700000          5000            0               900             4              
snd/dup         35.0       D          700000          5000            0               996             4              
snd             35.0       D          700000          5000            1               996             4              
tout/RXT        35.0       D          700000          5000            0               996             4              
rcv             35.0       A          1               0               700000          302             3              
drop            35.0       D          715000          5000            0               1074            3              
tout/RXT        35.0       D          715000          5000            0               1074            3              
snd/corr        35.0       D          715000          5000            0               1174            3              
snd             35.0       D          715000          5000            1               1174            3              
tout/RXT        35.0       D          715000          5000            0               1174            3              
snd             35.0       D          715000          5000            1               1274            3              
tout/RXT        35.0       D          715000          5000            0               1274            3              
snd/corr        35.0       D          715000          5000            0               1378            3              
snd             35.0       D          715000          5000            1               1378            3              
tout/RXT        35.0       D          715000          5000            0               1378            3              
drop            35.0       D          715000          5000            0               1378            3              
snd/RXT         35.0       D          715000          5000            0               1378            3              
snd             36.0       D          715000          5000            1               1478            3              
tout/RXT        36.0       D          715000          5000            0               1478            3              
rcv             36.0       A          1               0               715000          807             2              
snd/rord        36.0       D          725000          5000            0               1453            2              
tout/RXT        36.0       D          725000          5000            0               1453            2              
snd             36.0       D          730000          5000            1               1517            2              
snd/corr        36.0       D          735000          5000            0               2157            3              
snd             36.0       D          735000          5000            1               2157            3              
snd             36.0       D          740000          5000            1               2157            4              
snd             36.0       D          730000          5000            1               2157            4              
snd/RXT         36.0       D          730000          5000            0               2157            4              
rcv             36.0       A          1               0               730000          2               3              
drop            36.0       D          745000          5000            0               749             4              
rcv             36.0       A          1               0               740000          1               3              
snd             36.0       D          750000          5000            1               748             4              
snd             36.0       D          725000          5000            1               848             4              
tout/RXT        36.0       D          725000          5000            0               848             4              
rcv             36.0       A          1               0               725000          103             3              
snd             36.0       D          755000          5000            1               925             4              
rcv             36.0       A          1               0               755000          1               3              
drop            36.0       D          760000          5000            0               748             4              
drop            36.0       D          735000          5000            0               848             4              
tout/RXT        36.0       D          735000          5000            0               848             4              
drop            36.0       D          735000          5000            0               948             4              
tout/RXT        36.0       D          735000          5000            0               948             4              
drop            36.0       D          735000          5000            0               1048            4              
tout/RXT        36.0       D          735000          5000            0               1048            4              
snd/dup         36.0       D          735000          5000            0               1148            4              
snd             36.0       D          735000          5000            1               1148            4              
tout/RXT        36.0       D          735000          5000            0               1148            4              
rcv             36.0       A          1               0               735000          404             3              
snd/dup         36.0       D          765000          5000            0               1455            4              
snd             36.0       D          765000          5000            1               1455            4              
rcv             36.0       A          1               0               765000          1               3              
snd/dup         36.0       D          770000          5000            0               748             4              
snd             36.0       D          770000          5000            1               748             4              
rcv             36.0       A          1               0               770000          1               3              
snd/corr        36.0       D          775000          5000            0               748             4              
snd             36.0       D          775000          5000            1               748             4              
snd/corr        36.0       D          745000          5000            0               848             4              
snd             36.0       D          745000          5000            1               848             4              
tout/RXT        36.0       D          745000          5000            0               848             4              
snd             36.0       D          745000          5000            1               948             4              
tout/RXT        36.0       D          745000          5000            0               948             4              
snd/dup         37.0       D          745000          5000            0               1048            4              
snd             37.0       D          745000          5000            1               1048            4              
tout/RXT        37.0       D          745000          5000            0               1048            4              
rcv             37.0       A          1               0               745000          305             3              
drop            37.0       D          760000          5000            0               1280            4              
snd             37.0       D          750000          5000            1               1180            4              
tout/RXT        37.0       D          750000          5000            0               1180            4              
rcv             37.0       A          1               0               750000          101             3              
drop            37.0       D          765000          5000            0               923             4              
snd/dely        37.0       D          760000          5000            0               823             4              
snd             38.0       D          760000          5000            1               1663            4              
tout/RXT        38.0       D          760000          5000            0               1663            4              
snd/dup         38.0       D          760000          5000            0               1763            4              
snd             38.0       D          760000          5000            1               1763            4              
tout/RXT        38.0       D          760000          5000            0               1763            4              
rcv             38.0       A          1               0               760000          1045            3              
rcv             38.0       A          1               0               760000          1045            2              
drop            38.0       D          770000          5000            0               2575            3              
snd/rord        38.0       D          775000          5000            0               2575            4              
drop            38.0       D          775000          5000            0               2475            4              
tout/RXT        38.0       D          775000          5000            0               2475            4              
snd             38.0       D          775000          5000            1               2375            4              
tout/RXT        38.0       D          775000          5000            0               2375            4              
rcv             38.0       A          1               0               775000          202             3              
rcv             38.0       A          1               0               775000          202             2              
snd/dely        38.0       D          780000          5000            0               1099            3              
snd/corr        38.0       D          765000          5000            0               999             3              
snd             38.0       D          765000          5000            1               999             3              
tout/RXT        38.0       D          765000          5000            0               999             3              
snd             38.0       D          765000          5000            1               999             3              
snd/RXT         38.0       D          765000          5000            0               999             3              
rcv             38.0       A          1               0               765000          102             2              
snd/dup         38.0       D          770000          5000            0               924             2              
snd             38.0       D          770000          5000            1               924             2              
tout/RXT        38.0       D          770000          5000            0               924             2              
rcv             38.0       A          1               0               770000          203             1              
snd             38.0       D          780000          5000            1               1000            1              
tout/RXT        38.0       D          780000          5000            0               1000            1              
rcv             38.0       A          1               0               780000          305             0              
snd             39.0       D          780000          5000            1               1536            0              
snd             39.0       D          785000          5000            1               1280            1              
drop            39.0       D          790000          5000            0               1280            2              
drop            39.0       D          795000          5000            0               1280            3              
snd/dup         39.0       D          800000          5000            0               1280            4              
snd             39.0       D          800000          5000            1               1276            4              
rcv             39.0       A          1               0               785000          3               3              
snd             39.0       D          805000          5000            1               750             4              
rcv             39.0       A          1               0               800000          1               3              
snd/dup         39.0       D          810000          5000            0               748             4              
snd             39.0       D          810000          5000            1               748             4              
rcv             39.0       A          1               0               805000          0               3              
drop            39.0       D          815000          5000            0               748             4              
rcv             39.0       A          1               0               810000          1               3              
snd             39.0       D          820000          5000            1               748             4              
drop            39.0       D          790000          5000            0               848             4              
tout/RXT        39.0       D          790000          5000            0               848             4              
snd/rord        39.0       D          790000          5000            0               948             4              
tout/RXT        39.0       D          790000          5000            0               948             4              
snd             39.0       D          790000          5000            1               1048            4              
tout/RXT        39.0       D          790000          5000            0               1048            4              
rcv             39.0       A          1               0               820000          303             3              
snd/corr        39.0       D          805000          5000            0               1275            4              
snd             39.0       D          805000          5000            1               1275            4              
snd             39.0       D          805000          5000            1               1275            4              
snd/RXT         39.0       D          805000          5000            0               1275            4              
rcv/DA          39.0       A          1               0               805000          2               3              
drop            39.0       D          810000          5000            0               749             4              
snd             39.0       D          790000          5000            1               845             4              
tout/RXT        39.0       D          790000          5000            0               845             4              
rcv             39.0       A          1               0               790000          101             3              
snd/corr        39.0       D          815000          5000            0               923             4              
snd             39.0       D          815000          5000            1               923             4              
snd/dup         39.0       D          795000          5000            0               823             4              
snd             39.0       D          795000          5000            1               823             4              
tout/RXT        39.0       D          795000          5000            0               823             4              
rcv             39.0       A          1               0               795000          103             3              
snd/dup         39.0       D          820000          5000            0               925             4              
snd             39.0       D          820000          5000            1               925             4              
rcv             39.0       A          1               0               820000          1               3              
snd             39.0       D          825000          5000            1               748             4              
rcv             39.0       A          1               0               825000          1               3              
snd             39.0       D          830000          5000            1               748             4              
rcv             39.0       A          1               0               830000          1               3              
snd/rord        39.0       D          835000          5000            0               748             4              
snd/dely        39.0       D          815000          5000            0               848             4              
snd             40.0       D          815000          5000            1               1828            4              
tout/RXT        40.0       D          815000          5000            0               1828            4              
snd/dup         40.0       D          815000          5000            0               1932            4              
snd             40.0       D          815000          5000            1               1932            4              
tout/RXT        40.0       D          815000          5000            0               1932            4              
rcv             40.0       A          1               0               815000          1185            3              
rcv             40.0       A          1               0               815000          1185            2              
drop            40.0       D          840000          5000            0               2820            3              
snd/dely        40.0       D          845000          5000            0               2820            4              
snd             40.0       D          845000          5000            1               2784            4              
snd/dely        41.0       D          810000          5000            0               2684            4              
snd             41.0       D          810000          5000            1               2132            4              
tout/RXT        41.0       D          810000          5000            0               2132            4              
rcv             41.0       A          1               0               810000          688             3              
snd/rord        41.0       D          850000          5000            0               1952            4              
rcv             41.0       A          1               0               845000          1               3              
snd/corr        41.0       D          855000          5000            0               748             4              
snd             41.0       D          855000          5000            1               748             4              
drop            41.0       D          835000          5000            0               848             4              
tout/RXT        41.0       D          835000          5000            0               848             4              
snd             41.0       D          835000          5000            1               948             4              
tout/RXT        41.0       D          835000          5000            0               948             4              
rcv             41.0       A          1               0               835000          202             3              
